id,name,city,state,lat,long
94,Warped Wing Brewing Company,Dayton,OH,39.7589478,-84.1916069
95,Blackrocks Brewery,Marquette,MA,46.4481521,-87.6305899
96,Catawba Valley Brewing Company,Morganton,NC,35.7454291,-81.6870837
97,Tröegs Brewing Company,Hershey,PA,40.2854881,-76.6506001
98,Mission Brewery,San Diego,CA,32.7174202,-117.1627728
99,Christian Moerlein Brewing Company,Cincinnati,OH,39.1014537,-84.5124602
100,West Sixth Brewing,Lexington,KY,38.0464066,-84.4970393
101,Coastal Extreme Brewing Company,Newport,RI,41.4899827,-71.3137707
102,King Street Brewing Company,Anchorage,AK,61.2163129,-149.894852
103,Beer Works Brewery,Lowell,MA,38.82501785,-104.8252602
104,Lone Tree Brewing Company,Lone Tree,CO,41.4880775,-91.425994
105,Four String Brewing Company,Columbus,OH,39.9622601,-83.0007065
106,Glabrous Brewing Company,Pineland,ME,43.8944832,-70.24254694
107,Bonfire Brewing Company,Eagle,CO,39.6161124,-106.7172844
108,Thomas Hooker Brewing Company,Bloomfield,CT,41.830959,-72.737419
109,"Woodstock Inn, Station & Brewery",North Woodstock,NH,44.0303449,-71.6859143
110,Renegade Brewing Company,Denver,CO,39.7348381,-104.9653271
111,Mother Earth Brew Company,Vista,CA,33.2000368,-117.2425355
112,Black Market Brewing Company,Temecula,CA,33.4946353,-117.1473661
113,Vault Brewing Company,Yardley,PA,40.245664,-74.8459972
114,Jailbreak Brewing Company,Laurel,MD,39.1044123,-76.8669233
115,Smartmouth Brewing Company,Norfolk,VA,36.84616,-76.28591
116,Base Camp Brewing Co.,Portland,OR,45.5202471,-122.6741949
117,Alameda Brewing,Portland,OR,45.5202471,-122.6741949
118,Southern Star Brewing Company,Conroe,TX,30.3118769,-95.4560512
119,Steamworks Brewing Company,Durango,CO,37.282249,-107.877762
120,Horny Goat Brew Pub,Milwaukee,WI,43.0349931,-87.922497
121,Cheboygan Brewing Company,Cheboygan,MI,45.4417481,-84.4768486
122,Center of the Universe Brewing C...,Ashland,VA,46.2062319,-90.6802594
123,Ipswich Ale Brewery,Ipswich,MA,42.67991,-70.83734
124,Griffin Claw Brewing Company,Birmingham,MI,33.5206824,-86.8024326
125,Karbach Brewing Company,Houston,TX,29.7589382,-95.3676974
126,Uncle Billy's Brewery and Smokeh...,Austin,TX,30.2711286,-97.7436995
127,Deep Ellum Brewing Company,Dallas,TX,32.7762719,-96.7968559
128,Real Ale Brewing Company,Blanco,TX,30.2419274,-98.4004594
129,Straub Brewery,St Mary's,PA,41.4280432,-78.5611275
130,Shebeen Brewing Company,Wolcott,CT,42.238412,-71.1313416
131,Stevens Point Brewery,Stevens Point,WI,44.5229223,-89.574111
132,Weston Brewing Company,Weston,MO,39.4087949,-94.9031821
133,Southern Prohibition Brewing Com...,Hattiesburg,MS,31.3271189,-89.2903392
134,Minhas Craft Brewery,Monroe,WI,42.6136586,-89.58520522
135,Pug Ryan's Brewery,Dillon,CO,34.4014089,-79.3864339
136,Hops & Grains Brewing Company,Austin,TX,30.2711286,-97.7436995
137,Sietsema Orchards and Cider Mill,Ada,MI,38.8398935,-83.5051704
138,Summit Brewing Company,St Paul,MN,44.9500208,-93.0949764
139,Core Brewing & Distilling Company,Springdale,AR,36.1867442,-94.1288142
140,Independence Brewing Company,Austin,TX,30.2711286,-97.7436995
141,Cigar City Brewing Company,Tampa,FL,27.9477595,-82.458444
142,Third Street Brewhouse,Cold Spring,MN,45.4557973,-94.4288849
143,Narragansett Brewing Company,Providence,RI,41.82399,-71.412834
144,Grimm Brothers Brewhouse,Loveland,CO,40.385549,-105.0443613
145,Cisco Brewers,Nantucket,MA,41.31691145,-70.14287302
146,Angry Minnow,Hayward,WI,46.0129676,-91.4848728
147,Platform Beer Company,Cleveland,OH,41.5051613,-81.6934446
148,Odyssey Beerwerks,Arvada,CO,39.8005505,-105.0811573
149,Lonerider Brewing Company,Raleigh,NC,35.7803977,-78.6390989
150,Oakshire Brewing,Eugene,OR,44.0505054,-123.0950506
151,Fort Pitt Brewing Company,Latrobe,PA,40.317287,-79.3840301
152,Tin Roof Brewing Company,Baton Rouge,LA,30.4459596,-91.18738
153,Three Creeks Brewing,Sisters,OR,44.290948,-121.5492516
154,2 Towns Ciderhouse,Corvallis,OR,44.5645659,-123.2620435
155,Caldera Brewing Company,Ashland,OR,42.1972487,-122.7153995
156,Greenbrier Valley Brewing Company,Lewisburg,WV,37.8017879,-80.4456303
157,Phoenix Ale Brewery,Phoenix,AZ,33.4484367,-112.0741417
158,Lumberyard Brewing Company,Flagstaff,AZ,35.1816047,-111.6165953
159,Uinta Brewing Company,Salt Lake City,UT,40.7596198,-111.8867975
160,Four Peaks Brewing Company,Tempe,AZ,33.4255056,-111.9400091
161,Martin House Brewing Company,Fort Worth,TX,32.753177,-97.3327459
162,Right Brain Brewery,Traverse City,MI,44.7606441,-85.6165301
163,Sly Fox Brewing Company,Phoenixville,PA,40.1303822,-75.5149128
164,Round Guys Brewing,Lansdale,PA,40.2414952,-75.2837862
165,Great Crescent Brewery,Aurora,IN,39.05842,-84.90309
166,Oskar Blues Brewery,Longmont,CO,40.1672117,-105.1019287
167,Boxcar Brewing Company,West Chester,PA,39.9597213,-75.6059638
168,High Hops Brewery,Windsor,CO,43.59239545,-72.54867296
169,Crooked Fence Brewing Company,Garden City,ID,43.622111,-116.2381787
170,Everybody's Brewing,White Salmon,WA,45.7276194,-121.4864619
171,Anderson Valley Brewing Company,Boonville,CA,39.0091667,-123.3661111
172,Fiddlehead Brewing Company,Shelburne,VT,44.3783486,-73.2276183
173,Evil Twin Brewing,Brooklyn,NY,40.6501038,-73.9495823
174,New Orleans Lager & Ale Brewing ...,New Orleans,LA,29.9499323,-90.0701156
175,Spiteful Brewing Company,Chicago,IL,41.8755616,-87.6244212
176,Rahr & Sons Brewing Company,Fort Worth,TX,32.753177,-97.3327459
177,18th Street Brewery,Gary,IN,31.470271,-82.107662
178,Cambridge Brewing Company,Cambridge,MA,42.3750997,-71.1056157
179,Carolina Brewery,Pittsboro,NC,35.7201229,-79.1771539
180,Frog Level Brewing Company,Waynesville,NC,35.4887476,-82.9888725
181,Wild Wolf Brewing Company,Nellysford,VA,37.8904176,-78.8722444
182,COOP Ale Works,Oklahoma City,OK,35.4729886,-97.5170536
183,Seventh Son Brewing Company,Columbus,OH,39.9622601,-83.0007065
184,Oasis Texas Brewing Company,Austin,TX,30.2711286,-97.7436995
185,Vander Mill Ciders,Spring Lake,MI,40.1535132,-74.0293941
186,St. Julian Winery,Paw Paw,MI,42.2178171,-85.8911246
187,Pedernales Brewing Company,Fredericksburg,TX,30.2752011,-98.8719843
188,Mother's Brewing,Springfield,MO,37.2166779,-93.2920373
189,Modern Monks Brewery,Lincoln,NE,41.1280799,-101.1313806
190,Two Beers Brewing Company,Seattle,WA,47.6038321,-122.3300624
191,Snake River Brewing Company,Jackson,WY,43.582767,-110.821999
192,Capital Brewery,Middleton,WI,43.0962919,-89.5119565
193,Anthem Brewing Company,Oklahoma City,OK,35.4729886,-97.5170536
194,Goodlife Brewing Co.,Bend,OR,44.0581728,-121.3153096
195,Breakside Brewery,Portland,OR,45.5202471,-122.6741949
196,Goose Island Brewery Company,Chicago,IL,41.8755616,-87.6244212
197,Burnside Brewing Co.,Portland,OR,45.5202471,-122.6741949
198,Hop Valley Brewing Company,Springfield,OR,44.0462362,-123.0220289
199,Worthy Brewing Company,Bend,OR,44.0581728,-121.3153096
200,Occidental Brewing Company,Portland,OR,45.5202471,-122.6741949
201,Fearless Brewing Company,Estacada,OR,45.2864689,-122.3342596
202,Upland Brewing Company,Bloomington,IN,39.1979542,-86.54119326
203,Mehana Brewing Co.,Hilo,HI,19.7073734,-155.0815803
